rank,feature,group,mean_abs_shap
97,fat_tex_contrast,Fat,0.0016123382027995
98,inferior_rectus_shape_volume_voxels,Inferior Rectus,0.001585456734171
99,superior_rectus_asym_left_voxels,Superior Rectus,0.0015801683960495
100,superior_rectus_asym_asymmetry,Superior Rectus,0.0015796149219004
101,fat_int_median,Fat,0.001575542261906
102,fat_shape_bb_dx_mm,Fat,0.0015679326179136
103,lateral_rectus_shape_bb_dx_mm,Lateral Rectus,0.0015532820972933
104,fat_tex_energy,Fat,0.001507804228245
105,optic_nerve_shape_bb_dy,Optic Nerve,0.0015046821296447
106,superior_rectus_shape_bb_dy,Superior Rectus,0.0014514526453741
107,inferior_rectus_asym_left_voxels,Inferior Rectus,0.0014483529652841
108,superior_rectus_shape_volume_voxels,Superior Rectus,0.0014454670793557
109,superior_rectus_int_p10,Superior Rectus,0.0014415001330203
110,superior_rectus_shape_bb_dx_mm,Superior Rectus,0.0014409838106937
111,medial_rectus_tex_homogeneity,Medial Rectus,0.0014255798664056
112,lacrimal_gland_tex_homogeneity,Lacrimal Gland,0.0014079489009009
113,superior_rectus_tex_contrast,Superior Rectus,0.0013959889566657
114,medial_rectus_asym_left_voxels,Medial Rectus,0.0013861453055768
115,medial_rectus_shape_bb_dy_mm,Medial Rectus,0.0013850922450794
116,eyeball_int_p10,Eyeball,0.0013815384455648
117,inferior_rectus_shape_bb_dx,Inferior Rectus,0.0013654360915031
118,lateral_rectus_int_kurtosis,Lateral Rectus,0.0013603004855799
119,fat_shape_ar_dy_dz,Fat,0.001359262070496
120,lacrimal_gland_int_skewness,Lacrimal Gland,0.0013586248967152
121,lateral_rectus_shape_ar_dx_dy,Lateral Rectus,0.0013414987277797
122,fat_shape_ar_dx_dy,Fat,0.0013367178271047
123,inferior_rectus_shape_bb_dy_mm,Inferior Rectus,0.001335301497013
124,inferior_rectus_shape_bb_dy,Inferior Rectus,0.0013261603935104
125,muscle_asym_asymmetry,Muscle (generic),0.0013226281544657
126,medial_rectus_shape_ar_dx_dz,Medial Rectus,0.0013224092097565
127,ratio_eyeball_to_fat,Clinical,0.0013186851602646
128,medial_rectus_shape_ar_dy_dz,Medial Rectus,0.0013078109533838
129,optic_nerve_shape_bb_dy_mm,Optic Nerve,0.0013063653798593
130,medial_rectus_int_median,Medial Rectus,0.0012941868293842
131,lateral_rectus_asym_asymmetry,Lateral Rectus,0.001292017415685
132,lacrimal_gland_shape_volume_mm3,Lacrimal Gland,0.0012860902569108
133,muscle_shape_ar_dx_dy,Muscle (generic),0.0012839409153986
134,fat_shape_bb_dx,Fat,0.001281912307575
135,medial_rectus_tex_energy,Medial Rectus,0.0012655466886702
136,lateral_rectus_tex_homogeneity,Lateral Rectus,0.0012633723750269
137,lacrimal_gland_shape_bb_dy_mm,Lacrimal Gland,0.0012572659791195
138,lacrimal_gland_tex_correlation,Lacrimal Gland,0.0012370708263188
139,inferior_rectus_shape_volume_mm3,Inferior Rectus,0.0012340446716965
140,muscle_int_std,Muscle (generic),0.0012281316967343
141,inferior_rectus_int_skewness,Inferior Rectus,0.0012255948011733
142,lateral_rectus_int_skewness,Lateral Rectus,0.0012239921528792
143,lacrimal_gland_int_median,Lacrimal Gland,0.0012119704246066
144,lacrimal_gland_tex_energy,Lacrimal Gland,0.0012033100175726
145,lateral_rectus_shape_bb_dz,Lateral Rectus,0.0011954236704062
146,fat_int_kurtosis,Fat,0.0011864337185832
147,lacrimal_gland_int_kurtosis,Lacrimal Gland,0.001182050550214
148,optic_nerve_int_mean,Optic Nerve,0.0011686216089705
149,medial_rectus_asym_right_voxels,Medial Rectus,0.0011624079043972
150,optic_nerve_shape_ar_dx_dz,Optic Nerve,0.0011623318664046
151,eyeball_int_p90,Eyeball,0.0011599933299135
152,fat_int_mean,Fat,0.0011581178780401
153,eyeball_tex_homogeneity,Eyeball,0.0011536205863875
154,inferior_rectus_int_p10,Inferior Rectus,0.0011374219581662
155,superior_rectus_shape_ar_dy_dz,Superior Rectus,0.0011277029995629
156,lacrimal_gland_tex_contrast,Lacrimal Gland,0.0011091972109166
157,optic_nerve_tex_contrast,Optic Nerve,0.0010959262602883
158,muscle_shape_bb_dx_mm,Muscle (generic),0.0010951558045714
159,fat_shape_bb_dy_mm,Fat,0.0010852587951728
160,ratio_lacrimal_to_fat,Clinical,0.0010669619528456
161,lateral_rectus_shape_bb_dy_mm,Lateral Rectus,0.0010629935599117
162,superior_rectus_shape_bb_dy_mm,Superior Rectus,0.0010495130868323
163,optic_nerve_int_std,Optic Nerve,0.0010483273406881
164,inferior_rectus_int_p90,Inferior Rectus,0.0010426761068873
165,lacrimal_gland_asym_right_voxels,Lacrimal Gland,0.0010420577609949
166,muscle_int_mean,Muscle (generic),0.0010349184275763
167,inferior_rectus_shape_ar_dx_dz,Inferior Rectus,0.0010071571246889
