feature,mean_abs_shap
lateral_rectus_asym_asymmetry,0.0012920174156850327
lacrimal_gland_shape_volume_mm3,0.0012860902569108359
muscle_shape_ar_dx_dy,0.0012839409153986591
fat_shape_bb_dx,0.0012819123075750109
medial_rectus_tex_energy,0.0012655466886702257
lateral_rectus_tex_homogeneity,0.001263372375026937
lacrimal_gland_shape_bb_dy_mm,0.00125726597911957
lacrimal_gland_tex_correlation,0.0012370708263188335
inferior_rectus_shape_volume_mm3,0.0012340446716965381
muscle_int_std,0.0012281316967343067
inferior_rectus_int_skewness,0.0012255948011733527
lateral_rectus_int_skewness,0.001223992152879245
lacrimal_gland_int_median,0.0012119704246066156
lacrimal_gland_tex_energy,0.0012033100175726252
lateral_rectus_shape_bb_dz,0.001195423670406281
fat_int_kurtosis,0.0011864337185832324
lacrimal_gland_int_kurtosis,0.0011820505502140757
optic_nerve_int_mean,0.0011686216089705774
medial_rectus_asym_right_voxels,0.0011624079043972887
optic_nerve_shape_ar_dx_dz,0.0011623318664046058
eyeball_int_p90,0.0011599933299135793
fat_int_mean,0.0011581178780401121
eyeball_tex_homogeneity,0.0011536205863875342
inferior_rectus_int_p10,0.0011374219581662109
superior_rectus_shape_ar_dy_dz,0.0011277029995629543
lacrimal_gland_tex_contrast,0.0011091972109166135
optic_nerve_tex_contrast,0.0010959262602883105
muscle_shape_bb_dx_mm,0.0010951558045714524
fat_shape_bb_dy_mm,0.001085258795172849
ratio_lacrimal_to_fat,0.0010669619528456541
lateral_rectus_shape_bb_dy_mm,0.0010629935599117694
superior_rectus_shape_bb_dy_mm,0.0010495130868323267
optic_nerve_int_std,0.0010483273406881946
inferior_rectus_int_p90,0.001042676106887367
lacrimal_gland_asym_right_voxels,0.0010420577609949726
muscle_int_mean,0.001034918427576363
inferior_rectus_shape_ar_dx_dz,0.0010071571246889589
optic_nerve_int_p90,0.0009928010316596202
superior_rectus_asym_right_voxels,0.0009844273702381088
lacrimal_gland_shape_ar_dx_dz,0.0009794318334571388
medial_rectus_int_p10,0.0009727572096796401
lacrimal_gland_shape_ar_dy_dz,0.0009619631510631245
muscle_shape_bb_dx,0.0009581706461202017
superior_rectus_shape_volume_mm3,0.0009579869750817805
inferior_rectus_tex_correlation,0.0009471428227991792
inferior_rectus_shape_ar_dy_dz,0.000943770857606935
eyeball_shape_ar_dx_dz,0.0009320542672865864
fat_int_p10,0.000927148018323671
muscle_int_median,0.0009240429726671338
optic_nerve_int_p10,0.0009220471998668382
lateral_rectus_tex_contrast,0.0009181489491809174
superior_rectus_int_skewness,0.0009122892637608164
fat_int_p90,0.0009119478286670038
optic_nerve_shape_bb_dx_mm,0.0009071436197889986
fat_int_std,0.0008948360808579627
eyeball_int_std,0.0008715887362253132
eyeball_tex_energy,0.0008682139930103408
eyeball_shape_bb_dx,0.0008661903986524188
superior_rectus_int_std,0.0008586212799217945
lacrimal_gland_shape_bb_dy,0.0008379084953756151
muscle_shape_bb_dy,0.0008251536296386717
muscle_int_p90,0.0008237872807478867
superior_rectus_shape_ar_dx_dz,0.0008163302938775096
inferior_rectus_shape_bb_dx_mm,0.0008111550443156504
muscle_int_p10,0.0008091034833132528
muscle_tex_contrast,0.0008073619566249106
lateral_rectus_int_p90,0.0007850407693335416
optic_nerve_shape_bb_dx,0.0007839643270643954
medial_rectus_shape_bb_dz_mm,0.0007834064478061701
optic_nerve_int_median,0.0007775340282920822
lacrimal_gland_shape_bb_dz_mm,0.0007595308818146091
lacrimal_gland_shape_bb_dx,0.0007570943425261222
lateral_rectus_int_p10,0.000744844580437553
medial_rectus_int_mean,0.0007389883800366183
medial_rectus_int_std,0.0007382184649494833
ratio_sr_to_ir,0.000725837329037347
lacrimal_gland_int_p10,0.0007116827020502285
lacrimal_gland_shape_ar_dx_dy,0.0007085794105878336
superior_rectus_int_mean,0.000707622823855013
lacrimal_gland_int_mean,0.0007019811993671664
muscle_shape_bb_dz,0.0006840538219414821
inferior_rectus_int_median,0.0006785909574784123
lacrimal_gland_int_std,0.000658373998539761
medial_rectus_int_p90,0.0006576851301587479
muscle_shape_bb_dy_mm,0.000642920153330058
superior_rectus_int_median,0.0006335686687029431
lateral_rectus_int_std,0.0006121638094918441
fat_shape_bb_dy,0.000606735922067797
